temperature,humidity,horizontal_radiation,normal_radiation,heating,cooling,ventilation,gains
4.89,69.28,2.42,14.79,171.58,0.0,0,138.6
4.16,72.21,0.0,0.0,205.49,0.0,0,138.6
3.18,75.98,0.0,0.0,196.07,0.0,0,138.6
2.62,77.53,0.0,0.0,241.62,0.0,0,138.6
2.32,76.58,0.0,0.0,242.9,0.0,0,138.6
2.72,76.71,0.0,0.0,207.91,0.0,0,138.6
3.03,77.83,0.0,0.0,211.28,0.0,0,138.6
2.78,79.36,0.0,0.0,217.19,0.0,0,138.6
2.51,81.46,0.0,0.0,227.65,0.0,0,138.6
2.29,83.77,0.0,0.0,252.83,0.0,0,138.6
